region,south.border.name,state,south.border.lat,north.border.name,north.border,east.west border,east.west,line.start.lat,line.start.lon,line.end.lat,line.end.lon,label_lat1,label_long1,label_lat2,label_long2,comments,,
NWVI,Estevan Point,bc,,Cape Scott plus,50.8608,Cape Scott plus,-128.2543103,,,,,50,-129,,,"line is at area 125 and is southern border, east.west is north east corner of box",,
CBC,Cape Scott plus,bc,50.8608,Cape St. James Light,51.9358833,,,,,,,,,,,lines are complex areas inside of Haida G'wai,,
CBC.1,Cape Scott plus,bc,50.8608,Area 106 north,53.16666,,,53.16666,-131,52.28333,-130.108333,52.28333,-130.108333,,,north boundary,,
CBC.2,,bc,,,,,,52.28333,-130.108333,51.8,-130,,,,,north boundary,,
CBC.3,,bc,,,,,,51.8,-130,51.6555,-130.508333,,,,,north boundary,,
CBC.4,,bc,,,,,,51.6555,-130.508333,51.9358833,-131.015,,,,,north boundary,,
NBC,Cape St. James Light,bc,51.9358833,,,,,,,,,,,,,south boundary,,
NBC.1,Area 106 north,bc,53.16666,,,,,53.16666,-131,52.28333,-130.108333,52.28333,-130.108333,,,south boundary,,
NBC.2,,bc,,,,,,52.28333,-130.108333,51.8,-130,,,,,south boundary,,
NBC.3,,bc,,,,,,51.8,-130,51.6555,-130.508333,,,,,south boundary,,
NBC.4,,bc,,,,,,51.6555,-130.508333,51.9358833,-131.015,,,,,south boundary,,
NBC.5,,bc,,,,,,54.66255,-132.68255,54.66255,-131.3,,,,,north boundary,,
NBC.6,,bc,,,,,,54.66255,-132.68255,54.412241,-134.048796,,,,,north boundary,,
SSEAK,label,ak,,,,,,,,,,,,55,-135,,,
SSEAK.1,,ak,,,,,,54.66255,-132.68255,54.66255,-131.3,,,,,south boundary,,
SSEAK.2,,ak,,,,,,54.66255,-132.68255,54.412241,-134.048796,,,,,south boundary,,
SSEAK.3,,ak,,,,,,55.81666,-134.5,57.022754,-134.512624,,,,,north boundary,,
SSEAK.4,,ak,,,,,,57.022754,-134.512624,57.185955,-133.561056,,,,,north boundary,,
NSEAK,,ak,,,,,,,,,,,,56.3,-136.5,,,
NSEAK.1,,ak,,Yakutat,59.53,,,55.81666,-134.5,57.022754,-134.512624,,,,,south boundary,,from weitkamp et al
NSEAK.2,,ak,,Yakutat,59.53,,,57.022754,-134.512624,57.185955,-133.561056,,,,,south boundary,,from weitkamp et al
NSEAK.4,,ak,,,,,,55.81666,-134.5,55,-138,,,,,,,
S YAK,north border between N AK and E YAK,ak,,,,,,55,-139,58.2,-136.6,,,,,,,
YAK,,ak,,Prince William Soun to the left,,,,60,-144,55,-144,,,57.5,-140,NEW- EXPERIMENTAL GS,,
PWS,,ak,,,,,,60,-149,54.5,-149,,,57.5,-147,NEW- EXPERIMENTAL GS,,
KOD,Kodiak and Cook,ak,,,,,,57,-156.4,52.5,-156.4,,,55,-153,NEW- EXPERIMENTAL GS,,
PEN,,ak,,,,,,54.5,-165,52.5,-165,,,53,-160,,,
ALEUT,S of islands west of Kodiak,ak,,,,,,,,,,,,51,-170,NEW- EXPERIMENTAL GS,,
BER.1,North of Islands,ak,,,,,,54.5,-165,54.5,-180,,,,,NEW- EXPERIMENTAL GS,,
BER.2,North of Islands,ak,,,,,,,,,,,,,,NEW- EXPERIMENTAL GS,,
BER,label,ak,,,,,,,,,,,,58,-170,NEW- EXPERIMENTAL GS,,
,,,,,,,,,,,,,,,,NEW- EXPERIMENTAL GS,,
,,,,,,,,,,,,,,,,NEW- EXPERIMENTAL GS,,
,,,,,,,,,,,,,,,,NEW- EXPERIMENTAL GS,,
,,,,,,,,,,,,,,,,NEW- EXPERIMENTAL GS,,
,,,,,,,,,,,,,,,,NEW- EXPERIMENTAL GS,,
,,,,,,,,,,,,,,,,NEW- EXPERIMENTAL GS,,
,,,,,,,,,,,,,,,,NEW- EXPERIMENTAL GS,,
,,,,,,,,,,,,,,,,NEW- EXPERIMENTAL GS,,
