VESSEL_SEQ,VESSEL_CODE,NAME,PERMIT,ADFG_NUMBER,COAST_GUARD_NUMBER,LENGTH,COMMUNICATION_CODE,IGNORE_AUTOSYNC,AKR_PERSON_ID,RMD_ACTION,RMD_CHANGED_BY,RMD_CHANGE_COMMENT,RMD_TS_CHANGED,FFP_STATUS,IFQ_CDQ_LANDING,AKR_VESSEL_ID,VESSEL_CONTACT_SEQ
1917,10167,FAMILY PRIDE,248,10167,540590,58,2,N,31604,U,NORPAC,,02-Jan-13,A,,248,1306
121,10176,ALASKA STAR,15339,10176,278992,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,15339,
6458,10180,UMATILLA,11280,10180,220273,42,0,N,9578,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11280,
3697,10199,MARMOT,16512,10199,278995,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,16512,
101731,10203,KARMA,4720,10203,262086,49,2,E,,I,NORPAC,,21-Mar-16,,,4720,
792,10216,BONNIE LYNN,26134,10216,,28,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,26134,
5255,10298,SILVER LINING,26681,10298,528177,32,0,N,24119,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,26681,
2092,10323,GENESEE I,4760,10323,,34,0,N,10442,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,4760,
2835,10327,JUNE BUG,11984,10327,,17,0,N,10443,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11984,
4294,10385,NIKKA,1148,10385,532423,42,2,N,8375,U,NORPAC,,01-May-13,A,,1148,1438
5980,104,STORMY SEA,4136,104,586415,172,0,N,504,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,R,,4136,
2057,10475,FYKE,15265,10475,,36,0,N,23429,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,15265,
6563,10495,VICKI RAE,4048,10495,521854,57,2,N,2164,U,NORPAC,,07-Jan-15,,,4048,1527
2478,10567,ILLUSION,11987,10567,537171,38,0,N,2553,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11987,
3095,10583,RANDI JO,1024,10583,261547,39,0,N,9204,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,1024,
5782,10599,SLEIPNER,4193,10599,243797,42,0,N,1289,U,NORPAC,,07-Jan-15,,,4193,
3025,10603,KETA,24952,10603,565035,30,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,24952,
2700,10620,JENNIFER ROSE,4949,10620,514663,37,0,N,11966,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,4949,
1303,10622,CONNIE M,1835,10622,514757,40,2,N,1890,U,NORPAC,,06-Jan-15,,,1835,977
6681,10635,WESTERN QUEEN,3718,10635,514629,58,2,N,81284,U,NORPAC,,25-Feb-15,A,,3718,1505
221,10665,ALJAC,2421,10665,542394,45,0,N,1505,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,2421,
6044,10680,SUNSPOT,18078,10680,,35,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,18078,
4863,10686,PRIEST POINT,15033,10686,515277,58,0,N,10761,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,15033,
2937,10687,KATHRYN ANN,95,10687,,38,0,N,10447,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,95,
4658,10703,PALMA,3549,10703,252463,40,0,N,1581,U,NORPAC,,07-Jan-15,,,3549,
3903,10707,MIRACLE,10531,10707,500100,45,0,N,46377,U,NORPAC,,07-Jan-15,,,10531,
1087,10712,CHALLENGER,10576,10712,519966,58,0,N,8930,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,10576,
2032,10717,FREE SPIRIT,2985,10717,274199,39,0,N,2230,U,NORPAC,,07-Jan-15,,,2985,
3943,10724,MISS EVERETT,6199,10724,221075,38,0,N,2985,U,NORPAC,,07-Jan-15,,,6199,
885,10738,BUKSIKA,11990,10738,,28,0,N,10448,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11990,
6545,10739,VENUS,4155,10739,509395,48,2,N,1833,U,NORPAC,,08-May-15,A,,4155,1113
3801,10749,MELODY S,402,10749,276664,33,0,N,9841,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,402,
3557,10752,LYNDA,27246,10752,252750,85,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,27246,
575,10753,BANDIT,10711,10753,297634,39,0,N,9050,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,10711,
1426,10754,DANIEL G,3321,10754,249624,44,0,N,8469,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,3321,
938,10767,CANDY LYNN,10430,10767,267647,38,0,N,10675,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,10430,
1238,10790,CLARA M,11991,10790,234594,37,0,N,10449,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11991,
1208,108,CHRISTY,957,108,549390,42,0,N,23750,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,957,
3926,10831,MISS CHARLOTTE,5894,10831,276266,49,0,N,1968,U,NORPAC,,07-Jan-15,,,5894,
1056,10880,CATALINA,5851,10880,290919,32,0,N,1584,U,NORPAC,,07-Jan-15,,,5851,
4584,109,OUTFOX,2569,109,546380,36,0,N,1668,U,NORPAC,,07-Jan-15,,,2569,
2388,10903,HISTORIAN,4258,10903,291847,41,0,N,1753,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,4258,
1850,10904,ESTHER,4687,10904,252853,36,0,N,941,U,NORPAC,,07-Jan-15,,,4687,
2632,10918,JAMIE,11123,10918,522287,48,0,N,9427,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11123,
1910,10976,FAITHFUL,2052,10976,238521,41,0,N,935,U,NORPAC,,07-Jan-15,,,2052,
5310,10988,SANDY POINT,10968,10988,527078,34,0,P,9288,U,NORPAC,,22-Nov-12,,,10968,
1022,10996,CAROLE II,11995,10996,,33,0,N,10453,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11995,
4172,11034,NAKCHAMIK,20040,11034,539708,38,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,20040,
4579,11035,OTTER,19855,11035,524976,38,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,19855,
2831,11081,JULIE C,1465,11081,,36,0,N,882,U,NORPAC,,07-Jan-15,,,1465,
111111,11111,TEST VESSEL 1,11111,11111,,41,2,E,,I,NORPAC,,18-Nov-14,,,,4319
2088,11118,GE GE,19406,11118,,29,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,19406,
5941,11171,STARLING,5428,11171,530192,34,0,N,10457,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,5428,
412,11173,AQUARIUS,689,11173,530033,42,0,N,9575,U,NORPAC,,07-Jan-15,,,689,
5977,11193,STORMY,16366,11193,,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,16366,
2380,11218,HIGH POCKETS II,12001,11218,,36,0,N,10458,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,12001,
1401,11223,DABCHICK,16990,11223,,34,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,16990,
3534,11286,VALIANT,2030,11286,530032,38,0,N,46512,U,NORPAC,,07-Jan-15,,,2030,
4552,1138,OPAL,177,1138,288657,38,0,N,10344,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,177,
4882,11402,PROSPECTOR,3262,11402,532607,28,0,N,8678,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,3262,
5250,11445,SABRINA,1510,11445,,32,0,N,10461,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,1510,
1058,1145,CATHANOVA,4369,1145,,32,0,N,10345,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,4369,
101729,11454,SALLY N,18019,11454,,99,2,N,,U,NORPAC,,11-Jan-16,A,,18019,4357
4769,11476,PETER,25198,11476,281543,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,25198,
1117,11478,CHARLIE,21061,11478,281542,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,21061,
2195,11488,GRANITE CAPE,2752,11488,257553,42,0,N,8707,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,2752,
5046,11562,RED WITCH,21034,11562,528639,40,0,N,25918,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,21034,
2360,11592,HELM POINT,5009,11592,533370,41,2,N,10463,U,NORPAC,,25-Aug-14,A,,5009,674
4771,11599,PETREL,3676,11599,502553,31,0,N,1189,U,NORPAC,,07-Jan-15,,,3676,
1566,11609,DILIGENT,24414,11609,,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,24414,
1948,11682,FINBACK,2574,11682,257497,75,0,N,11961,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,2574,
601,1169,BAVARIA,615,1169,565148,54,0,N,1180,U,martin.park,populating vessel_contact_seq after creating the column.,19-Oct-12,A,,615,856
6175,11739,TEASHA,1649,11739,533019,48,2,N,1911,U,NORPAC,,23-Jun-14,A,,1649,857
100220,11793,UNIMAK,10077,11793,261803,83,0,N,164,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,10077,
1515,118,DENAKA,11849,118,545433,42,0,N,9505,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11849,
6419,11869,TUNDRA,594,11869,223592,42,0,N,8816,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,594,
102,11886,ALASKA EAGLE,16771,11886,252152,82,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,16771,
2204,1189,GREBE,22379,1189,,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,22379,
580,11918,L'AMIE,12010,11918,502567,28,0,N,10465,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,12010,
3387,11929,LILLY ANN,23172,11929,536820,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,23172,
5404,11932,MISTRAL,22345,11932,502992,31,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,22345,
2062,11963,GAFF RK,562,11963,573936,46,2,N,2966,U,NORPAC,,15-Mar-16,A,,562,585
6338,11996,TONSINA,4225,11996,261570,72,0,N,13119,U,NORPAC,,27-Jan-15,,,4225,944
3951,120,MISS HOLLY,1841,120,545882,42,0,N,2212,U,NORPAC,,07-Jan-15,,,1841,
101627,12008,DOLPHIN,12008,11681,247958,76,0,N,,I,NORPAC,,29-Apr-13,,,12008,
3134,12060,AMBIENCE,4300,12060,523944,32,0,N,1767,U,NORPAC,,07-Jan-15,,,4300,
4245,12061,NEW DAWN,3015,12061,249457,48,0,N,1531,U,NORPAC,,07-Jan-15,,,3015,
5688,121,SILVER DOLPHIN,4975,121,547726,126,0,N,103,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,4975,
1749,12113,EILEEN,25553,12113,252749,84,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,25553,
4684,1212,PAT,127,1212,273914,45,2,N,2551,U,NORPAC,,05-Mar-15,A,,127,1048
6616,12137,VIXEN,2506,12137,538089,27,0,N,10468,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,2506,
6549,12153,ESPERANZA,2501,12153,291636,52,0,N,717,U,NORPAC,,07-Jan-15,,,2501,
1955,12158,FIONA,2698,12158,546524,38,0,N,10469,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,2698,
439,12159,ARCTIC MIST,10980,12159,540923,38,0,N,9298,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,10980,
240,12169,ALPHA CENTAURI,22764,12169,534184,47,0,N,,U,martin.park,Add primary owner contact (VESSEL_CONTASE_SEQ = 4237 which is added manually to ATL_LOV_VESSEL_CONTACT from AKCFEC ) for the vessel.,26-Nov-12,,,22764,4237
1521,122,DENISE MARIE,1691,122,549323,46,0,N,1955,U,NORPAC,,27-Jan-15,,,1691,4195
4823,12251,POLAR BEAR,26645,12251,503601,102,0,N,42557,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,X,,26645,
4132,12253,MY CHOICE,25065,12253,503356,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,25065,
697,12290,BILLIKEN II,23471,12290,684724,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,23471,
100280,12299,LOIS ANDERSON,16322,12299,252090,105,0,N,2457,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,16322,
2069,12329,GALE,25242,12329,,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,25242,
5624,12332,SHELLY D,5905,12332,268143,32,0,N,1633,U,NORPAC,,07-Jan-15,,,5905,
2872,12346,KAKAMIE II,22770,12346,,24,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,22770,
4675,12408,PARADISE,1736,12408,502698,28,0,N,8568,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,1736,
2588,12411,SABLE,102,12411,239466,48,0,N,12802,U,NORPAC,,07-Jan-15,,,102,
215,12432,ALICIA,19978,12432,,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,19978,
818,12433,BRANDEN,20313,12433,503311,29,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,20313,
5700,12472,SILVER KRIS,22302,12472,,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,22302,
1609,12506,DONNA ANN,870,12506,252018,58,0,N,25436,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,X,,870,
1179,12512,CHISIK ISLAND,18179,12512,260202,82,0,N,2542,U,NORPAC,,27-Jan-15,,,18179,157
5340,12528,SATURN,18180,12528,239651,81,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,18180,
5837,12542,SOPHIA K,,12542,283291,39,0,N,,U,NORPAC,Not Found in V_VESSEL@AKR1 but exist in atl_offload or domestic_port.,24-Aug-12,,,,
4760,12543,PERIL CAPE,2382,12543,283290,44,0,N,2031,U,NORPAC,,07-Jan-15,,,2382,
3143,12547,KRISTINA,1450,12547,249932,57,2,N,1627,U,NORPAC,,23-Jun-14,A,,1450,1227
6057,12549,SUSAN,12017,12549,239727,54,2,N,10471,U,NORPAC,,01-May-13,A,,12017,1338
3696,12568,BECHAROF,3524,12568,255043,77,0,N,648,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,X,,3524,
6688,12578,WESTWARD,11482,12578,274414,81,0,N,9765,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11482,
3515,12592,LOUISE,,12592,,29,0,N,,U,NORPAC,Not Found in V_VESSEL@AKR1 but exist in atl_offload or domestic_port.,24-Aug-12,,,,
1064,12631,CATHY JEAN,11340,12631,506566,42,0,N,9629,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11340,
1421,12640,DANCING LIZZY,4257,12640,512997,32,0,N,2414,U,NORPAC,,07-Jan-15,,,4257,
5329,12650,SARAH K,11423,12650,236315,39,0,N,9709,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11423,
3069,12654,KINGFISHER,3394,12654,237511,54,0,N,8998,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,3394,
2440,12667,HY-BOY,12022,12667,,34,0,N,10475,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,12022,
1865,12698,EDNA MAY,11080,12698,245660,27,0,N,9386,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11080,
4696,127,PATRICIA ANN,19707,127,547260,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,19707,
1327,12711,CORAL,1870,12711,248392,53,0,N,2402,U,NORPAC,,07-Jan-15,,,1870,
6648,12717,WAR JACK,18352,12717,,35,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,18352,
1134,12718,CHATHAM,12023,12718,,36,0,N,10476,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,12023,
2908,12839,KAREN SUE,10865,12839,513852,39,0,N,9195,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,10865,
155,12866,ALBATROSS,454,12866,234908,32,0,N,8836,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,454,
100061,129,LUBA MARIE,30927,129,546379,35,0,N,48204,U,NORPAC,,07-Jan-15,,,30927,
6733,12973,WILSON,2379,12973,211971,56,0,N,1686,U,NORPAC,,07-Jan-15,,,2379,
101598,12975,WHALE,,12975,,82,0,N,,U,NORPAC,Added 11/30/2012: not found in V_VESSEL@AKR1 but data exists in atl_offload for tender deliveries only.,30-Nov-12,,,,
1169,13,CHINIAK,3762,13,573084,48,2,N,349,U,NORPAC,,23-Jun-14,A,,3762,662
5061,13004,TAKU CHIEFS,21280,13004,,36,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,21280,
6505,13005,VAGABOND,2344,13005,509122,36,0,N,1575,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,2344,
2467,13009,IDA MARIA,3221,13009,508727,32,0,N,9553,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,3221,
1034,13011,CAROLYN PAGE,12027,13011,,36,0,N,10480,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,12027,
4795,13048,PIERCE,1395,13048,227260,44,2,N,1805,U,NORPAC,,23-Jun-14,A,,1395,1464
5701,13108,SILVER LADY,554,13108,512704,56,2,N,12504,U,NORPAC,,01-Aug-13,A,,554,4260
4952,13132,RACHEL 1,12028,13132,,32,0,N,10481,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,12028,
586,13140,BARANOF QUEEN,573,13140,512996,58,0,N,8362,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,X,,573,
4536,13200,OMAR,447,13200,291094,40,0,N,727,U,NORPAC,,07-Jan-15,,,447,
3711,13207,MARTINA,1625,13207,507627,49,2,N,39692,U,NORPAC,,06-Jan-15,,,1625,701
5007,13251,RAVEN,22376,13251,636391,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,22376,
46,13325,ADRIAN D,18689,13325,285600,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,18689,
3283,13346,ICE MAIDEN,618,13346,536737,36,0,N,88320,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,618,
794,13402,BONNY JEAN,4928,13402,239973,46,0,N,48844,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,4928,
5897,13437,ST DOMINICK,146,13437,525586,58,2,N,28589,U,NORPAC,,04-Jan-13,A,,146,710
6447,13440,TYYNE,11677,13440,235155,36,0,N,9951,U,NORPAC,,07-Jan-15,,,11677,
2300,13444,HARMONY,16378,13444,234022,38,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,16378,
2797,13459,JOYLIN,12030,13459,,26,0,N,10483,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,12030,
2222,13462,GROWLER,21706,13462,525910,36,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,21706,
2072,13481,GALE M,12031,13481,,28,0,N,10484,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,12031,
5816,13486,SOLITUDE,11100,13486,245651,42,0,N,9403,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,11100,
540,13497,AVENGER,10079,13497,526370,40,0,N,8472,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,10079,
6655,13499,WATERS,21683,13499,524737,39,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,21683,
2762,13507,JOHN ANTLER,2316,13507,248494,56,0,N,9208,U,NORPAC,,07-Jan-15,,,2316,
6015,13574,SUNDANCE,23439,13574,510321,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,23439,
4105,13588,MS ITALIA,20972,13588,,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,20972,
2436,13590,HURRICANE,24511,13590,,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,24511,
1075,13598,CENTAURUS,17684,13598,693276,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,17684,
6299,13612,TINA,2118,13612,507936,36,0,N,2280,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,2118,
1129,13619,CHARON,2384,13619,253390,42,0,N,1891,U,NORPAC,,07-Jan-15,,,2384,
5685,13631,SILVER CREST,16241,13631,508124,38,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,16241,
3821,13642,TONKA II,5825,13642,508193,42,0,N,9029,U,NORPAC,,07-Jan-15,,,5825,
4002,13644,MISS VALERIE,12035,13644,,34,0,N,10487,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,12035,
6209,13647,TERRIE,22251,13647,,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,22251,
3771,13650,MEDALLION,1269,13650,507153,50,0,N,869,U,NORPAC,,07-Jan-15,,,1269,
2929,13658,KASHEGA,3701,13658,,32,0,N,2506,U,NORPAC,,07-Jan-15,,,3701,
1607,13661,DONNA,5544,13661,,32,0,N,956,U,NORPAC,,07-Jan-15,,,5544,
1568,13675,DINAH LYNN,19869,13675,285595,32,0,N,26843,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,19869,
3657,13709,MARGIE-MARIA,20051,13709,,32,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,20051,
6589,13748,VIKING,3064,13748,,32,0,N,10488,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,3064,
6283,13788,TIFFY,24350,13788,535280,42,0,N,,U,martin.park,Copy akr_vessel_id to permit column to use it as unique key in the system. Permit column contains non-permit number. later need to change the definition.,24-Aug-12,,,24350,
2132,13843,GLENMAR,935,13843,240946,41,0,N,1040,U,NORPAC,,07-Jan-15,,,935,
4761,13850,PERIL STRAIT,1578,13850,512261,36,0,N,2089,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,A,,1578,
2077,13882,GALWAY,10847,13882,503060,32,0,N,9174,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,10847,
5581,13883,SHANNON,4237,13883,507868,28,0,N,8708,U,martin.park,Delete contact information from non-odds vessels,20-Nov-12,,,4237,
