"CATCH_REPORT_TYPE_CODE","YEAR","EL_REPORT_ID","TRIP_TARGET_DATE","LANDING_DATE","PORT_CODE","PROCESSING_SECTOR","CATCHER_VESSEL_ID","MANAGEMENT_PROGRAM_CODE","AGENCY_GEAR_CODE","ADFG_STAT_AREA_CODE","REPORTING_AREA_CODE","ESTIMATED_COUNT","RATE_PRECEDENCE","RATE","RETAINED_GF_WEIGHT","TOTAL_GF_BASIS_WEIGHT","MANUAL_CALC_EXAMPLE"
"ELLR",2018,4007383,"4/1/2018","4/2/2018","KOD","S",405,"OA","NPT","515630","630",0,50,0,138.8137986895,151.7289518698,0
"OBS",2018,,"8/4/2018",,,"CP",34249,"A80","NPT","795230","542",0,50,0,10.1298681,10.48747,0
"OBS",2018,,"2/17/2018",,,"CP",3835,"A80","NPT","855200","543",0,50,0,11.7251742,11.9752,0
"OBS",2018,,"8/4/2018",,,"CP",2123,"OA","NPT","415900","640",0,50,0,10.3032021,11.24469,0
"OBS",2018,,"9/22/2018",,,"CP",3819,"A80","NPT","755201","541",0,50,0,65.52795,68.13956,0
"ELLR",2018,3991454,"1/28/2018","1/29/2018","KOD","S",4989,"OA","PTR","535706","630",7.09384197959623743984,40,0.0587589296,120.1679586222,120.7278966429,7.09384197959623743984
"ELLR",2018,4618191,"10/7/2018","10/8/2018","SPT","S",4521,"OA","PTR","605431","610",16.14408698166691436689,40,0.2045957941,78.8856098438,78.9072280429,16.14408698166691436689
"ELLR",2018,3992178,"1/30/2018","2/1/2018","KOD","S",1674,"OA","PTR","525731","630",1.00467439079904968176,40,0.0587589296,17.0189399439,17.0982418781,1.00467439079904968176
"OBS",2018,,"3/10/2018",,,"CP",34249,"A80","NPT","725201","541",2.139244973352016,50,0.0910292219,23.45441,23.50064,2.139244973352016
"OBS",2018,,"2/24/2018",,,"CP",2134,"A80","NPT","715130","541",0,50,0,26.146688,27.54688,0
"ELLR",2018,4621003,"10/22/2018","10/24/2018","KOD","S",7079,"OA","NPT","515700","630",0.30453985983641953062,40,0.0029167877,94.68325085,104.4093335406,0.30453985983641953062
"OBS",2018,,"4/28/2018",,,"CP",3819,"A80","NPT","845202","543",0,50,0,25.148987,27.86246,0
"OBS",2018,,"10/20/2018",,,"CP",3819,"A80","NPT","725201","541",0,50,0,7.8151756,8.29735,0
"ELLR",2018,4608570,"9/7/2018","9/8/2018","KOD","S",5137,"OA","PTR","525702","630",3.92479068738839936854,40,0.0489042554,79.4185808787,80.2545842951,3.92479068738839936854
"OBS",2018,,"7/7/2018",,,"CP",2800,"RPP","NPT","565501","620",0,50,0,7.69014,10.9178,0
"OBS",2018,,"8/11/2018",,,"CP",34017,"A80","NPT","785131","542",0,50,0,11.7072648,11.8873,0
"OBS",2018,,"11/10/2018",,,"CP",2134,"A80","NPT","715202","541",0,50,0,22.6821078,23.55895,0
"OBS",2018,,"3/31/2018",,,"CP",4093,"A80","NPT","825201","542",0,50,0,45.290493,45.44871,0
"OBS",2018,,"4/7/2018",,,"CP",4092,"A80","NPT","795230","542",0,50,0,33.0698391,33.40834,0
"OBS",2018,,"8/11/2018",,,"CP",34017,"A80","NPT","795200","542",0,50,0,2.9686142,4.41941,0
"OBS",2018,,"9/8/2018",,,"CP",3819,"A80","NPT","855231","543",0,50,0,34.533825,34.80602,0
"OBS",2018,,"10/27/2018",,,"CP",3835,"A80","NPT","725130","541",0.193826973698592,50,0.0101260393,18.7466746,19.14144,0.193826973698592
"OBS",2018,,"7/21/2018",,,"CP",3835,"A80","NPT","795230","542",0,50,0,28.76164,28.77161,0
"OBS",2018,,"7/7/2018",,,"CP",2733,"A80","NPT","715202","541",0,50,0,16.7384389,17.07698,0
"OBS",2018,,"6/16/2018",,,"CP",2123,"OA","NPT","565534","620",0,50,0,9.4573413,10.19094,0
"ELLR",2018,4000858,"3/15/2018","3/15/2018","KOD","S",1674,"OA","PTR","545732","620",1.17031044772338820956,40,0.0088638138,130.1633200876,132.0323817862,1.17031044772338820956
"ELLR",2018,4042082,"5/24/2018","5/26/2018","KOD","S",993,"RPP","PTR","495730","630",0,50,0,30.6374883983,30.6516261409,0
"ELLR",2018,3999855,"3/9/2018","3/11/2018","ADA","S",4208,"SMPC","NPT","765141","541",0,40,0,45.255558744,46.3051464121,0
"OBS",2018,,"7/14/2018",,,"CP",3835,"A80","NPT","825201","542",0,50,0,24.05913,24.14226,0
"OBS",2018,,"7/28/2018",,,"CP",2123,"OA","NPT","415900","640",0,50,0,11.1774447,12.66299,0
"OBS",2018,,"8/11/2018",,,"CP",2123,"OA","NPT","415900","640",0,50,0,3.912377,17.01706,0
"OBS",2018,,"8/4/2018",,,"CP",2733,"CDQ","NPT","815131","542",0,50,0,13.1062199,13.75302,0
"ELLR",2018,4618925,"10/11/2018","10/12/2018","AKU","S",4131,"OA","PTR","665301","610",26.90068495354206401875,40,0.2045957941,131.4460793098,131.4821014375,26.90068495354206401875
"OBS",2018,,"9/1/2018",,,"CP",2800,"OA","NPT","695239","610",0,50,0,13.77845,13.80077,0
"OBS",2018,,"4/21/2018",,,"CP",3819,"A80","NPT","845202","543",0,50,0,9.7881910094,10.3663817411,0
"OBS",2018,,"4/28/2018",,,"CP",4093,"A80","NPT","715202","541",0,50,0,22.93903,24.89662,0
"OBS",2018,,"6/30/2018",,,"M",3373,"OA","NPT","715130","541",0,50,0,26.5591723,36.44991,0
"OBS",2018,,"8/18/2018",,,"CP",3367,"OA","NPT","645331","610",0,50,0,14.5566234,14.72396,0
"OBS",2018,,"6/23/2018",,,"CP",2733,"A80","NPT","715130","541",0,50,0,12.929203,13.539,0
"OBS",2018,,"3/24/2018",,,"CP",4092,"A80","NPT","725201","541",1.57943170744035,50,0.1299915975,12.0312478,12.15026,1.57943170744035
"OBS",2018,,"6/23/2018",,,"CP",2800,"RPP","NPT","585432","620",0,50,0,11.6894848,16.31368,0
"ELLR",2018,4621318,"10/26/2018","10/28/2018","KOD","S",31729,"OA","PTR","525630","630",18.55097826387229622688,40,0.2762625104,66.4698794922,67.1498215122,18.55097826387229622688
"ELLR",2018,3996623,"2/22/2018","2/23/2018","SPT","S",1846,"OA","PTR","605507","610",4.5377254279542327744,40,0.076253856,59.5081437974,59.5081437974,4.5377254279542327744
"ELLR",2018,4572675,"8/10/2018","8/11/2018","KOD","S",6182,"RPP","NPT","505800","630",0,50,0,0.3060308522,0.5306857497,0
"OBS",2018,,"6/9/2018",,,"CP",367,"OA","NPT","505730","630",0,50,0,6.4039578098,10.0026660684,0
"OBS",2018,,"3/10/2018",,,"CP",34017,"A80","NPT","845202","543",0,50,0,34.606,34.606,0
"OBS",2018,,"7/28/2018",,,"CP",2123,"OA","NPT","415900","640",0,50,0,21.29992,22.68682,0
"OBS",2018,,"4/14/2018",,,"CP",4635,"A80","NPT","715202","541",0,50,0,34.31781,35.14561,0
"OBS",2018,,"4/7/2018",,,"CP",4093,"A80","NPT","845130","543",0.87124617306923,50,0.0512790341,16.8487544,16.9903,0.87124617306923
"OBS",2018,,"8/4/2018",,,"CP",34017,"A80","NPT","845130","543",0,50,0,59.2483221,59.99325,0
"OBS",2018,,"4/21/2018",,,"CP",4093,"A80","NPT","715202","541",3.063285961743641,50,0.1669559443,18.34787,18.34787,3.063285961743641
"ELLR",2018,4619490,"10/13/2018","10/15/2018","KOD","S",1482,"OA","PTR","515730","630",23.49020231153426065796,50,0.3176393266,72.5162657842,73.9524370706,23.49020231153426065796
"ELLR",2018,4619643,"10/12/2018","10/14/2018","KOD","S",34939,"OA","NPT","525630","630",0.172276481037164592,40,0.009795055,16.0634757576,17.5881075744,0.172276481037164592
"OBS",2018,,"6/16/2018",,,"CP",34249,"A80","NPT","705232","541",0,50,0,6.988806,7.14729,0
"ELLR",2018,4602159,"9/2/2018","9/3/2018","AKU","S",2046,"OA","PTR","655330","610",2.04235861770864303092,40,0.0948311614,21.5367879878,21.5367879878,2.04235861770864303092
"ELLR",2018,4001320,"3/16/2018","3/17/2018","KOD","S",32645,"OA","PTR","545732","620",1.23032657726157783762,40,0.0088638138,136.8383854044,138.8032967549,1.23032657726157783762
"OBS",2018,,"8/4/2018",,,"CP",34017,"A80","NPT","845130","543",0,50,0,13.501125,13.93367,0
"ELLR",2018,4020444,"5/9/2018","5/10/2018","KOD","S",6182,"RPP","PTR","505832","630",0,50,0,109.7317053732,109.7317053732,0
"ELLR",2018,4618133,"10/6/2018","10/7/2018","SPT","S",3474,"OA","PTR","605502","610",11.50869466808636305189,40,0.2045957941,56.2354748478,56.2508858929,11.50869466808636305189
"OBS",2018,,"3/17/2018",,,"CP",34017,"A80","NPT","825201","542",0,50,0,52.22503,52.22503,0
"OBS",2018,,"8/4/2018",,,"CP",2800,"RPP","NPT","565501","620",0,50,0,31.75312,33.35403,0
"ELLR",2018,4010006,"4/15/2018","4/19/2018","KOD","S",519,"OA","NPT","505730","630",2.5485222261954894304,20,0.0456239008,55.859367163,55.859367163,2.5485222261954894304
"ELLR",2018,4623382,"11/9/2018","11/10/2018","KOD","S",5137,"RPP","NPT","505700","630",0,50,0,15.7305833916,19.577658443,0
"OBS",2018,,"4/14/2018",,,"CP",4093,"A80","NPT","825201","542",0,50,0,36.2761947055,36.3008417867,0
"OBS",2018,,"10/13/2018",,,"CP",2134,"A80","NPT","725201","541",0,50,0,17.2585095,17.76848,0
"ELLR",2018,3990746,"1/24/2018","1/25/2018","SPT","S",4521,"OA","NPT","635400","610",50.60809092525791754968,40,1.2742788929,38.1471183169,39.7150821592,50.60809092525791754968
"OBS",2018,,"4/21/2018",,,"CP",367,"OA","NPT","565534","620",0,50,0,12.36408,18.59782,0
"ELLR",2018,4617629,"10/1/2018","10/3/2018","SPT","S",33305,"OA","PTR","605503","610",8.19081758646243927047,40,0.2045957941,40.0231763593,40.0341445067,8.19081758646243927047
"ELLR",2018,4624348,"11/21/2018","11/24/2018","KOD","S",519,"OA","NPT","525702","630",0,40,0,90.1326548254,130.2317080601,0
"OBS",2018,,"8/11/2018",,,"CP",3835,"A80","NPT","735201","541",0,50,0,47.73872,47.82876,0
"ELLR",2018,4609453,"9/8/2018","9/9/2018","KOD","S",1571,"OA","PTR","525702","630",4.72229399703611702152,40,0.0489042554,95.556150024,96.5620263188,4.72229399703611702152
"OBS",2018,,"3/17/2018",,,"CP",34017,"A80","NPT","845130","543",0,50,0,12.00865,15.6338,0
"OBS",2018,,"6/23/2018",,,"CP",34249,"A80","NPT","705300","541",0,50,0,10.3570632,10.67926,0
"OBS",2018,,"6/30/2018",,,"CP",2733,"A80","NPT","715202","541",0,50,0,22.7413762,23.5848,0
"ELLR",2018,4617419,"10/1/2018","10/2/2018","KOD","S",1116,"OA","PTR","555600","620",15.62099240177145900658,40,0.1095974171,141.2823687082,142.5306618998,15.62099240177145900658
"ELLR",2018,4584127,"10/1/2018","10/1/2018","KCO","S",10562,"OA","PTR","605503","610",0,50,0,17.3589799998,17.3589799998,0
"OBS",2018,,"3/3/2018",,,"M",685,"OA","NPT","715202","541",0,50,0,22.1702744,22.50328,0
"ELLR",2018,4593077,"8/27/2018","8/27/2018","DUT","S",3402,"OA","PTR","645331","610",5.829880083227052363,40,0.103957119,56.0717280022,56.079661877,5.829880083227052363
"OBS",2018,,"6/23/2018",,,"CP",4093,"RPP","NPT","565501","620",0,50,0,18.8519,18.91268,0
"OBS",2018,,"7/7/2018",,,"CP",3423,"A80","NPT","815131","542",0,50,0,37.02198,37.02198,0
"OBS",2018,,"9/15/2018",,,"CP",4093,"A80","NPT","785102","542",0,50,0,19.58095,19.73507,0
"OBS",2018,,"9/15/2018",,,"CP",4093,"A80","NPT","775131","542",0,50,0,8.36138,8.39109,0
"OBS",2018,,"7/14/2018",,,"CP",2733,"A80","NPT","715202","541",0,50,0,21.5794262,22.30167,0
"OBS",2018,,"6/30/2018",,,"CP",661,"CDQ","NPT","725201","541",0,50,0,19.4767056,19.94423,0
"OBS",2018,,"7/28/2018",,,"CP",4093,"A80","NPT","825201","542",0,50,0,18.46473,18.46473,0
"OBS",2018,,"3/24/2018",,,"CP",2134,"A80","NPT","795230","542",0,50,0,45.2095,45.217,0
"OBS",2018,,"3/17/2018",,,"CP",34017,"A80","NPT","845130","543",0,50,0,21.92925,25.42562,0
"OBS",2018,,"3/10/2018",,,"CP",34017,"A80","NPT","845202","543",0,50,0,27.92422,27.92422,0
"ELLR",2018,4621454,"10/27/2018","10/28/2018","KOD","S",405,"OA","PTR","515630","630",7.52892403091099190106,50,0.0655990423,112.356190826,114.7718589622,7.52892403091099190106
"ELLR",2018,4618005,"10/5/2018","10/6/2018","KOD","S",519,"OA","NPT","555600","620",0.05201520232804271082,40,0.0164275554,2.8328935585,3.1663385733,0.05201520232804271082
"OBS",2018,,"7/21/2018",,,"CP",34017,"A80","NPT","875232","543",0,50,0,21.72201,21.72201,0
"ELLR",2018,4001439,"3/16/2018","3/18/2018","ADA","S",5000,"SMPC","NPT","765138","541",0,25,0,57.4979242404,59.5321841084,0
"OBS",2018,,"8/4/2018",,,"CP",3367,"OA","NPT","645331","610",0,50,0,21.5998992,22.59713,0
"OBS",2018,,"8/18/2018",,,"CP",2800,"OA","NPT","545732","620",0,50,0,33.42202,34.47336,0
"ELLR",2018,4603684,"9/3/2018","9/4/2018","KOD","S",1868,"OA","PTR","525630","630",10.78424643095959528696,40,0.0829250984,128.5771075695,130.0480390019,10.78424643095959528696
"OBS",2018,,"6/30/2018",,,"CP",1879,"OA","NPT","555630","620",0,50,0,21.5690462,22.6356,0
"OBS",2018,,"6/23/2018",,,"CP",2123,"OA","NPT","545732","620",0,50,0,5.2149438,8.23053,0
"OBS",2018,,"10/6/2018",,,"CP",3819,"A80","NPT","725201","541",0,50,0,5.338057,10.768,0
"OBS",2018,,"4/7/2018",,,"CP",4092,"A80","NPT","795230","542",0,50,0,9.5135967,9.6112,0
"OBS",2018,,"7/7/2018",,,"CP",3835,"A80","NPT","885230","543",0,50,0,53.25072,53.25773,0
"OBS",2018,,"3/24/2018",,,"M",3373,"CDQ","NPT","715202","541",0,50,0,30.0955,30.16183,0
"OBS",2018,,"3/24/2018",,,"CP",3819,"A80","NPT","785131","542",0,50,0,28.50578,28.59129,0
"OBS",2018,,"8/4/2018",,,"CP",2733,"A80","NPT","835200","543",0,50,0,27.6866718,28.24695,0
"OBS",2018,,"3/24/2018",,,"CP",4092,"A80","NPT","725201","541",2.14901849003805,50,0.1299915975,16.3750748,16.53198,2.14901849003805
"OBS",2018,,"9/8/2018",,,"M",11770,"OA","NPT","725201","541",0.72614804061055,50,0.1085504209,6.4010623,6.6895,0.72614804061055
"ELLR",2018,4614351,"9/18/2018","9/20/2018","KOD","S",519,"RPP","PTR","495800","630",0,50,0,46.7479100406,46.8573953429,0
"OBS",2018,,"6/16/2018",,,"CP",2733,"A80","NPT","705232","541",0,50,0,29.8270913,31.25707,0
"OBS",2018,,"3/31/2018",,,"CP",367,"OA","NPT","515730","630",0,50,0,3.4078343835,3.8993627363,0
"ELLR",2018,4596590,"8/27/2018","8/28/2018","AKU","S",4521,"OA","PTR","645331","610",4.54382564354460335935,40,0.0906931465,50.1010916359,50.1010916359,4.54382564354460335935
"ELLR",2018,4001421,"3/16/2018","3/17/2018","KOD","S",405,"OA","PTR","545732","620",1.18739848677983858016,40,0.0088638138,132.0638721178,133.9602245232,1.18739848677983858016
"ELLR",2018,4067973,"5/30/2018","6/2/2018","KOD","S",4131,"RPP","NPT","495730","630",0,50,0,65.0195178891,66.4580612959,0
"OBS",2018,,"7/14/2018",,,"CP",3369,"OA","NPT","415900","640",0,50,0,10.4573403,10.7083,0
"OBS",2018,,"7/14/2018",,,"CP",2123,"OA","NPT","415900","640",0,50,0,18.4526892,19.1678,0
"OBS",2018,,"11/3/2018",,,"CP",4093,"A80","NPT","725201","541",2.063663364989762,50,0.0780850958,26.11376,26.42839,2.063663364989762
"OBS",2018,,"10/20/2018",,,"CP",2134,"A80","NPT","715130","541",0,50,0,14.2082439,14.51061,0
"OBS",2018,,"8/11/2018",,,"CP",3367,"OA","NPT","645331","610",0,50,0,14.4561483,15.02759,0
"ELLR",2018,4617493,"10/2/2018","10/3/2018","SPT","S",4226,"OA","PTR","605431","610",9.67458870369197885586,40,0.2045957941,47.2733968013,47.2863518346,9.67458870369197885586
"OBS",2018,,"8/18/2018",,,"CP",3819,"RPP","NPT","585432","620",0,50,0,20.768515,20.91741,0
"OBS",2018,,"8/18/2018",,,"CP",3423,"A80","NPT","735201","541",0,50,0,10.8494831,11.0977,0
"OBS",2018,,"5/5/2018",,,"CP",367,"OA","NPT","515730","630",0,50,0,10.737451,15.07341,0
"ELLR",2018,4029830,"5/17/2018","5/18/2018","KOD","S",2791,"OA","NPT","515700","630",0,40,0,54.0405413692,56.565157188,0
"OBS",2018,,"2/24/2018",,,"CP",34017,"A80","NPT","785131","542",0,50,0,16.41428,16.46099,0
"OBS",2018,,"7/7/2018",,,"CP",3694,"OA","NPT","695200","610",0,50,0,12.0025943,12.23199,0
"OBS",2018,,"4/28/2018",,,"CP",3819,"A80","NPT","815131","542",0,50,0,28.275688,30.69213,0
"OBS",2018,,"9/22/2018",,,"CP",3367,"OA","NPT","645331","610",0,50,0,15.8978061,16.15525,0
"ELLR",2018,4559809,"8/26/2018","8/26/2018","KCO","S",1889,"OA","PTR","605431","610",0.9978288002619190758,40,0.103957119,9.5971073645,9.5984653082,0.9978288002619190758
"OBS",2018,,"8/18/2018",,,"CP",3819,"RPP","NPT","515700","630",0,50,0,28.14614,28.16599,0
"OBS",2018,,"6/2/2018",,,"CP",367,"OA","NPT","505730","630",0,50,0,4.793138,7.437,0
"ELLR",2018,4620177,"10/18/2018","10/19/2018","KOD","S",823,"OA","NPT","525702","630",0.04355135396945781192,40,0.0098752686,3.9993239263,4.4101437372,0.04355135396945781192
"OBS",2018,,"6/23/2018",,,"CP",4093,"RPP","NPT","555500","620",0,50,0,9.7825765,9.96726,0
"ELLR",2018,4603254,"9/2/2018","9/4/2018","AKU","S",6097,"OA","PTR","655330","610",11.29677630403112344504,40,0.0948311614,119.1251497636,119.1251497636,11.29677630403112344504
"ELLR",2018,4619200,"10/11/2018","10/13/2018","KOD","S",251,"OA","PTR","515730","630",2.07824473266653095888,40,0.1541178646,13.2228979741,13.4847750328,2.07824473266653095888
"OBS",2018,,"8/4/2018",,,"CP",3367,"OA","NPT","645331","610",0,50,0,17.0594226,17.23174,0
"ELLR",2018,4609613,"9/7/2018","9/9/2018","KOD","S",405,"OA","PTR","525630","630",1.718941861909201486,40,0.0829250984,20.4943918983,20.7288492275,1.718941861909201486
"OBS",2018,,"2/24/2018",,,"CP",34017,"A80","NPT","715130","541",0,50,0,11.00189,11.00786,0
"OBS",2018,,"7/7/2018",,,"M",685,"OA","NPT","805103","542",0,50,0,38.50269,38.87878,0
"OBS",2018,,"2/10/2018",,,"CP",3835,"A80","NPT","715130","541",0,50,0,25.2556919,25.55303,0
"OBS",2018,,"8/18/2018",,,"CP",3819,"RPP","NPT","585432","620",0,50,0,22.85973,22.85973,0
"OBS",2018,,"8/11/2018",,,"CP",4093,"A80","NPT","845130","543",0,50,0,12.2861975,15.51868,0
"ELLR",2018,4007380,"4/1/2018","4/4/2018","KOD","S",6182,"OA","NPT","525630","630",0,40,0,21.8076874527,23.836661709,0
"OBS",2018,,"8/11/2018",,,"CP",34017,"A80","NPT","785131","542",0,50,0,19.7126226,20.30739,0
"OBS",2018,,"7/21/2018",,,"CP",4093,"OA","NPT","655330","610",0,50,0,15.8357625,18.81758,0
"OBS",2018,,"6/16/2018",,,"CP",34249,"A80","NPT","705232","541",0,50,0,3.5111637,3.66185,0
"ELLR",2018,3993464,"2/7/2018","2/8/2018","KOD","S",4131,"OA","PTR","555600","620",16.10593164263777800492,40,0.1226891047,130.0676120974,131.2743432436,16.10593164263777800492
"OBS",2018,,"7/14/2018",,,"CP",2733,"A80","NPT","735230","541",0,50,0,24.4147059,25.30303,0
"OBS",2018,,"7/14/2018",,,"CP",3819,"OA","NPT","695200","610",1.64760306380304,50,0.0699298438,23.28233,23.5608,1.64760306380304
"ELLR",2018,4282505,"10/7/2018","10/8/2018","KCO","S",1889,"OA","PTR","605431","610",10.03585809250535330416,40,0.6335627908,15.8403527452,15.8403527452,10.03585809250535330416
"OBS",2018,,"4/14/2018",,,"CP",2123,"OA","NPT","565534","620",0,50,0,14.780725,17.25978,0
"ELLR",2018,4601126,"8/30/2018","8/31/2018","KOD","S",7079,"OA","PTR","555600","620",4.6215069236826717051,40,0.0449242982,99.1929402486,102.8732135805,4.6215069236826717051
"ELLR",2018,4622622,"11/3/2018","11/6/2018","KOD","S",1235,"RPP","NPT","505700","630",1.9778231086141620678,50,0.2493519521,6.3732177386,7.931853318,1.9778231086141620678
"OBS",2018,,"3/17/2018",,,"CP",3423,"A80","NPT","855200","543",0,50,0,22.81123,23.01177,0
"OBS",2018,,"7/14/2018",,,"CP",3423,"A80","NPT","845130","543",0,50,0,34.30732,34.49417,0
"ELLR",2018,4612877,"9/14/2018","9/15/2018","KOD","S",1674,"RPP","NPT","495800","630",0,50,0,4.2715481793,4.6490755051,0
"OBS",2018,,"9/22/2018",,,"CP",3819,"A80","NPT","785131","542",0,50,0,34.5794717,36.5807,0
"OBS",2018,,"6/2/2018",,,"CP",367,"OA","NPT","505730","630",0,50,0,0,10,0
"ELLR",2018,4617515,"10/1/2018","10/2/2018","KOD","S",825,"OA","PTR","555600","620",18.7885813586527486826,40,0.1417832323,131.2764357635,132.516243662,18.7885813586527486826
"OBS",2018,,"7/28/2018",,,"CP",661,"CDQ","NPT","735230","541",0.068042335800542,50,0.0714025393,0.7674282,0.95294,0.068042335800542
"ELLR",2018,4608578,"9/7/2018","9/8/2018","KOD","S",2791,"OA","NPT","525702","630",0.14947280144130853269,50,0.0097829601,12.1287267223,15.2788930869,0.14947280144130853269
"OBS",2018,,"11/3/2018",,,"CP",3835,"A80","NPT","715202","541",0,50,0,17.3388911,19.57639,0
"ELLR",2018,4617634,"10/2/2018","10/3/2018","SPT","S",4657,"OA","PTR","605431","610",4.58220156967736101773,40,0.2045957941,22.3902265679,22.3963624953,4.58220156967736101773
"OBS",2018,,"7/14/2018",,,"CP",3694,"OA","NPT","695200","610",0,50,0,52.530062,53.18635,0
"OBS",2018,,"8/18/2018",,,"CP",34017,"A80","NPT","805103","542",0,50,0,32.1964066,32.89024,0
"OBS",2018,,"8/4/2018",,,"CP",2123,"OA","NPT","415900","640",0,50,0,13.1543214,14.04963,0
"OBS",2018,,"6/30/2018",,,"CP",661,"CDQ","NPT","715202","541",0,50,0,2.4797223,2.50477,0
"ELLR",2018,4004218,"3/23/2018","3/25/2018","KOD","S",825,"OA","PTR","545732","620",1.128890420295115586,40,0.0080175478,138.809244252,140.80245587,1.128890420295115586
"OBS",2018,,"7/7/2018",,,"CP",2134,"A80","NPT","845130","543",0,50,0,15.4342089,17.21557,0
